_phrase_,type,grammar_symbol
"('Ebavere',)",talu,TALU
"('Edela', 't')",talu,TALU
"('Edela',)",talu,TALU
"('Edimsaare', 'krjms')",talu,TALU
"('Edimsaare',)",talu,TALU
"('Edise', 'ms')",talu,TALU
"('Edise',)",talu,TALU
"('Edivere', 'krjms')",talu,TALU
"('Edivere',)",talu,TALU
"('Eduardi', 'krjms')",talu,TALU
"('Eduardi',)",talu,TALU
"('Eedi', 't')",talu,TALU
"('Eedi',)",talu,TALU
"('Eedu', 't')",talu,TALU
"('Eedu',)",talu,TALU
"('Eensamäe', 'krjms')",talu,TALU
"('Eensamäe',)",talu,TALU
"('Eenu', 't')",talu,TALU
"('Eenu',)",talu,TALU
"('Eera', 'krjms')",talu,TALU
"('Eera',)",talu,TALU
"('Eerika', 't')",talu,TALU
"('Eerika',)",talu,TALU
"('Eeriki', 't')",talu,TALU
"('Eeriki',)",talu,TALU
"('Eeriku', 'saun')",talu,TALU
"('Eeriku',)",talu,TALU
"('Eeriku', 't')",talu,TALU
"('Eero', 't')",talu,TALU
"('Eero',)",talu,TALU
"('Eeru', 'ms')",talu,TALU
"('Eeru',)",talu,TALU
"('Eeruma', 't')",talu,TALU
"('Eeruma',)",talu,TALU
"('Eeskopli', 't')",talu,TALU
"('Eeskopli',)",talu,TALU
"('Ees-Lõunda', 't')",talu,TALU
"('Ees-Lõunda',)",talu,TALU
"('Eesmäe', 't')",talu,TALU
"('Eesmäe',)",talu,TALU
"('Ees-Paatre', 't')",talu,TALU
"('Ees-Paatre',)",talu,TALU
"('Eespasti', 't')",talu,TALU
"('Eespasti',)",talu,TALU
"('Ees-Põlliku', 't')",talu,TALU
"('Ees-Põlliku',)",talu,TALU
"('Ees-Ruusevere', 't')",talu,TALU
"('Ees-Ruusevere',)",talu,TALU
"('Eessaare', 't')",talu,TALU
"('Eessaare',)",talu,TALU
"('Eestkõljala', 't')",talu,TALU
"('Eestkõljala',)",talu,TALU
"('Eestpao', 't')",talu,TALU
"('Eestpao',)",talu,TALU
"('Eest-Piganeeme', 't')",talu,TALU
"('Eest-Piganeeme',)",talu,TALU
"('Eest-Ristikivi', 't')",talu,TALU
"('Eest-Ristikivi',)",talu,TALU
"('Eestsaare', 't')",talu,TALU
"('Eestsaare',)",talu,TALU
"('Eest-Soosalu', 't')",talu,TALU
"('Eest-Soosalu',)",talu,TALU
"('Eest-Tuisu', 't')",talu,TALU
"('Eest-Tuisu',)",talu,TALU
"('Eestvahnuvere', 't')",talu,TALU
"('Eestvahnuvere',)",talu,TALU
"('Eha', 't')",talu,TALU
"('Eha',)",talu,TALU
"('Ehaallika', 't')",talu,TALU
"('Ehaallika',)",talu,TALU
"('Ehala', 't')",talu,TALU
"('Ehala',)",talu,TALU
"('Ehavere', 'krjms')",talu,TALU
"('Ehavere',)",talu,TALU
"('Ehmja', 'ms')",talu,TALU
"('Ehmja',)",talu,TALU
"('Eidapere', 'ms')",talu,TALU
"('Eidapere',)",talu,TALU
"('Eieri', 't')",talu,TALU
"('Eieri',)",talu,TALU
"('Eigi', 't')",talu,TALU
"('Eigi',)",talu,TALU
"('Eigisauna', 't')",talu,TALU
"('Eigisauna',)",talu,TALU
"('Eigu', 'krjms')",talu,TALU
"('Eigu',)",talu,TALU
"('Eikla', 'ms')",talu,TALU
"('Eikla',)",talu,TALU
"('Eiku', 't')",talu,TALU
"('Eiku',)",talu,TALU
"('Eilase', 't')",talu,TALU
"('Eilase',)",talu,TALU
"('Eimetsa', 't')",talu,TALU
"('Eimetsa',)",talu,TALU
"('Einbergi', 't')",talu,TALU
"('Einbergi',)",talu,TALU
"('Eineri', 't')",talu,TALU
"('Eineri',)",talu,TALU
"('Einmanni', 'ms')",talu,TALU
"('Einmanni',)",talu,TALU
"('Einsemäe', 't')",talu,TALU
"('Einsemäe',)",talu,TALU
"('Einu', 't')",talu,TALU
"('Einu',)",talu,TALU
"('Eistvere', 'ms')",talu,TALU
"('Eistvere',)",talu,TALU
"('Eivere', 'ms')",talu,TALU
"('Eivere',)",talu,TALU
"('EKE', 'ärihoone')",talu,TALU
"('EKE',)",talu,TALU
"('EKEI', 'hoone')",talu,TALU
"('EKEI',)",talu,TALU
"('Eki', 't')",talu,TALU
"('Eki',)",talu,TALU
"('Elberi', 't')",talu,TALU
"('Elberi',)",talu,TALU
"('Elevaatorihoone',)",talu,TALU
"('Eliste', 't')",talu,TALU
"('Eliste',)",talu,TALU
"('Elistvere', 'ms')",talu,TALU
"('Elistvere',)",talu,TALU
"('Ellaku', 't')",talu,TALU
"('Ellaku',)",talu,TALU
"('Ellakvere', 'krjms')",talu,TALU
"('Ellakvere',)",talu,TALU
"('Ellamaa', 'krjms')",talu,TALU
"('Ellamaa',)",talu,TALU
"('Ellandvahe', 't')",talu,TALU
"('Ellandvahe',)",talu,TALU
"('Ellavere', 'krjms')",talu,TALU
"('Ellavere',)",talu,TALU
"('Elme', 'ms')",talu,TALU
"('Elme',)",talu,TALU
"('Emaku', 't')",talu,TALU
"('Emaku',)",talu,TALU
"('Emismäe', 't')",talu,TALU
"('Emismäe',)",talu,TALU
"('Emmaste', 'krkms')",talu,TALU
"('Emmaste',)",talu,TALU
"('Emmaste', 'ms')",talu,TALU
"('Emumäe', 'ms')",talu,TALU
"('Emumäe',)",talu,TALU
"('Enari', 'ms')",talu,TALU
"('Enari',)",talu,TALU
"('Endla', 't')",talu,TALU
"('Endla',)",talu,TALU
